htid,recordid,locnum,author,datetype,startdate,enddate,textdate,subjects,genres,title
mdp.39015045820449,001770484,<blank>,"Millhouse, John.",s,1894,    ,1894,<blank>,UnknownGenre,New English and Italian pronouncing and explanatory dictionary
mdp.39015008903224,001058105,PA2107.W6,"Wilby, Stephen W.",s,1896,    ,1896,Latin language;Conversation and phrase-books,NotFiction,How to speak Latin
mdp.39015010538091,001898876,<blank>,"Wood, M W",s,1889,    ,1889,<blank>,UnknownGenre,Dictionary of Volapük
mdp.39015010776477,000121301,<blank>,"Dickens, Charles,",s,1883,    ,1883,"History;Outlines, syllabi, etc;Great Britain",NotFiction,A child's history of England
nyp.33433074391693,008619146,<blank>,"Chambers, George F.",s,1898,    ,1898,German;French;Dictionaries;English language,NotFiction;Dictionary,"A conversational dictionary of the English, French, and German languages in parallel columns for the use of travellers and students"
uc1.b3361281,006133423,<blank>,"Haines, William A.",s,1868,    ,1868,Catalogs and collections;Mollusks,NotFiction,Catalogue of the terrestrial shells in the collection of William A. Haines
wu.89094613296,005783471,<blank>,"Cruden, Alexander,",s,1854,    ,1854,"Bible;Concordances, English",NotFiction,A complete concordance to the Old and New Testament: or a dictionary and alphabetical index to the Bible
hvd.hxh2ys,009733891,<blank>,"Clarendon, Edward Hyde,",s,1843,    ,1843,"History;II;Puritan Revolution, 1642-1660;Charles;Great Britain;King of England;1630-1685",NotFiction,The history of the rebellion and civil wars in England
umn.31951002067572h,008375308,<blank>,<blank>,s,1883,    ,1883,Aesop;Bibliography,NotFiction,British Museum catalogue of printed books
miun.afa1796.0001.001,001177433,Z4701.H94 (Rare Bk. Coll.),"Hunnewell, James Frothingham,",s,1869,    ,1869,Bibliography;Hawaii,Bibliographies;NotFiction,Bibliography of the Hawaiian islands
mdp.39015018428683,001185928,PR5453.S8A8 1840,"Smith, James,",s,1840,    ,1840,<blank>,NotFiction,"Memoirs, letters, and comic miscellanies in prose and verse, of the late James Smith"
nnc1.0043515770,008400163,<blank>,"Ainsworth, Robert,",s,1818,    ,1818,"Pennsylvania imprints;1818;Dictionaries;English;Warner, Benjamin;Latin language;Latin",NotFiction,"An abridgment of Ainsworth's dictionary, English and Latin"
uc1.b98807,000773289,Z5975.b28,"Bartlett, John,",s,1882,    ,1882,Bibliography;Fishing;Fishes,Bibliographies;NotFiction,Catalogue of books on angling
njp.32101073342238,009014146,<blank>,<blank>,s,1876,    ,1876,<blank>,NotFiction,Catalogue of the library of the Society of Biblical archaeology
mdp.39015011333062,001014105,cm.,<blank>,s,1858,    ,1858,Epitaphs;Burial,NotFiction,Voices from the tombs;
yale.39002088446795,007669809,BR45.B3 1800,"Richards, George,",s,1800,    ,1800,"Prophecies;Bible;Church of England;Sermons, English;Sermons",Fiction,"The divine origin of prophecy illustrated and defended in a course of sermons preached before the University of Oxford, in the year MDCCC., at the lecture founded by John Bampton"
yale.39002016205271,008728651,F581.H67,<blank>,s,1881,    ,1881,Biography;History;Wisconsin,ContainsBiogMaterial;Fiction,History of northern Wisconsin
hvd.hx5g8k,009731693,<blank>,"Johnson, Samuel,",s,1840,    ,1840,<blank>,NotFiction,Todd's Johnson's dictionary of the English language in miniature
nyp.33433075857478,008697148,<blank>,<blank>,s,1858,    ,1858,History;Great Britain;Sources,NotFiction,Rerum Britannicarum medii aevi scriptores;
mdp.39015030874633,001492833,QH544.T47,"Thompson, Thomas Edward",s,1896,    ,1896,Phenology;Zoology;Massachusetts,NotFiction,A nature calendar;
nyp.33433006977700,008607242,E505.2.I29,<blank>,s,1867,    ,1867,"Civil War, 1861-1865;Regimental histories;United States;Militia;Illinois",NotFiction,Report of the adjutant general of the state of Illinois ... [1861-1866]
nyp.33433074913843,008683570,<blank>,"Shakespeare, William,",s,1853,    ,1853,"1564-1616;Shakespeare, William;Quotations",NotFiction,Dictionary of Shakespearian quotations
mdp.39015079929793,003940691,Z2506.R9,"Mezhov, Vladimïr Izmaĭlovich,",m,1882,1890,1882-1890,Religion;Russia;Bibliography;History,Bibliographies;NotFiction,Russkai︠a︡ istoricheskai︠a︡ bibliografii︠a︡ za 1865-1876 vkli︠u︡chitelʹno
umn.319510016919767,008373113,CS33.B5,"Berry, William,",s,1816,    ,1816,"Genealogy;Kings and rulers;Mythology, Classical",NotFiction,Genealogia antiqua;
uc1.b3579408,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
mdp.39015069281650,000773711,Z7845.H8H8,<blank>,s,1890,    ,1890,Huguenots;Bibliography,Bibliographies;NotFiction;Catalog,"Catalogue of the books, pamphlets, and manuscripts belonging to the Huguenot society of America, deposited in the library of Columbia college;"
njp.32101074871797,007705390,<blank>,<blank>, ,1897,    ,1897,Biography;Atlases;Encyclopedias and dictionaries;Dictionaries;English language,Handbooks;NotFiction;Encyclopedia;Dictionary,The Century dictionary and cyclopedia;
nnc1.ar00059080,008410943,CR125.K7,"Knight, Frederick.",s,1843,    ,1843,Heraldry,NotFiction,Knight's heraldic illustrations designed for the use of herald painters and engravers
uc1.32106006333899,007126998,<blank>,"James, William.",s,1899,    ,1899,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,Dictionary of the English and Italian languages for general use
nyp.33433081968483,008675171,<blank>,"Ash, John,",s,1795,    ,1795,Dictionaries;Grammar;English language,NotFiction,The new and complete dictionary of the English language
nyp.33433010742306,001766034,<blank>,<blank>,s,1829,    ,1829,<blank>,UnknownGenre,A catalogue of the books belonging to the library of the New York hospital;
uc1.b315123,000331132,T500.C1G55,<blank>,s,1893,    ,1893,"(1893 :;Chicago, Ill.);Views;World's Columbian Exposition",NotFiction,Glimpses of the World's Fair
nyp.33433082315189,008678472,<blank>,"Nugent, Thomas,",s,1817,    ,1817,"Encyclopedias and dictionaries;Dictionaries;English;Encyclopedias and dictionaries, French;French language",NotFiction;Dictionary,The new pocket dictionary of the French and English languages
njp.32101063696155,008727865,<blank>,"Girdlestone, Robert Baker,",s,1891,    ,1891,"Bible;O.T;Evidences, authority, etc;Criticism, interpretation, etc",Fiction,The foundations of the Bible
uc1.32106001272886,007124046,<blank>,"Fröbel, Friedrich,",m,1886,18  ,1886,"Fröbel, Friedrich;1782-1852",NotFiction,Autobiography of Friedrich Froebel
nnc1.cu61235016,008437091,<blank>,"Chester, Albert Huntington,",s,1892,    ,1892,Dictionaries;Mineralogy,NotFiction;Dictionary,"A catalogue of minerals, alphabetically arranged, with their chemical composition and synonyms"
mdp.39015014618816,001771016,<blank>,<blank>,m,1881,1889,1881-1889,<blank>,UnknownGenre,The Encyclopaedic dictionary
nyp.33433082544366,008637584,PQ4681.A3E56 1845a,"Alfieri, Vittorio,",s,1845,    ,1845,"Alfieri, Vittorio;1749-1803",NotFiction,"The autobiography of Vittorio Alfieri, the tragic poet"
uva.x000208731,009774634,PC2640.S7 1870,"Spiers, A.",s,1870,    ,1892,French;Dictionaries;English;English language;French language,NotFiction;Dictionary,"The standard pronouncing dictionary of the French and English languages, in two parts"
nyp.33433081982773,008678740,<blank>,"Hunter, Robert,",m,1879,1888,1879,Encyclopedias and dictionaries;Dictionaries;English language,NotFiction;Dictionary,The encyclopædic dictionary
uva.x030750718,009785322,Z56.M97D 1883,"Munson, James E.",s,1883,    ,1883,Shorthand;Dictionaries,NotFiction,Munson's system of phonography
uc1.32106002813126,008876934,<blank>,<blank>,s,1891,    ,1891,Catalogs;Astronomy;Bibliography;Library catalogs,NotFiction,Catalogue of the library of the Lick Observatory of the University of California
mdp.39015061880061,001494516,QK358.G86,"Griffith, William,",m,1847,1854,1847-1854,Asia;Pictorial works;Botany,NotFiction,"Posthumous papers, bequeathed to the honourable the East India company"
nyp.33433081631602,006505340,<blank>,<blank>,s,1889,    ,1889,Bibliography;Logic,Bibliographies;NotFiction,Catalogue of a collection of books on logic presented to the library by John Venn
uva.x030732059,007705390,<blank>,<blank>, ,1897,    ,1897,Biography;Atlases;Encyclopedias and dictionaries;Dictionaries;English language,Handbooks;NotFiction;Encyclopedia;Dictionary,The Century dictionary and cyclopedia;
mdp.39015061880343,001494516,QK358.G86,"Griffith, William,",m,1847,1854,1847-1854,Asia;Pictorial works;Botany,NotFiction,"Posthumous papers, bequeathed to the honourable the East India company"
nyp.33433003253105,008591427,<blank>,"Clarke, Mary Cowden,",s,1860,    ,1860,"Concordances;1564-1616;Shakespeare, William",NotFiction,The complete concordance to Shakspere
njp.32101071963464,008980647,<blank>,"Rousseau, Jean-Jacques,",s,1790,    ,1790,"Rousseau, Jean-Jacques;Correspondence;1712-1778",NotFiction,"The confessions of J.J. Rousseau, citizen of Geneva"
hvd.hxihx7,009720658,<blank>,"Nugent, Thomas,",s,1821,    ,1821,<blank>,NotFiction,A new pocket dictionary of the French and English language
mdp.39015054083269,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
yale.39002088445417,008734237,<blank>,"Mackail, J. W.",s,1900,    ,1900,"History of Biblical events;Bible;O.T;Bible stories, English",NotFiction;Juvenile audience,The little Bible
mdp.39015067352057,001496628,Q11.U6,"Scudder, Samuel Hubbard,",s,1882,    ,1882,Animals;Nomenclature,NotFiction,Nomenclator zoologicus
mdp.39015064586459,001587202,RX226.M2W7,"Wilson, T. P.",s,1880,    ,1880,<blank>,NotFiction,Special indications for twenty-five remedies in intermitent fever
njp.32101065559559,009246965,<blank>,<blank>,s,1886,    ,1886,France;Bookbinding;England;United States,NotFiction,Catalogue of an exhibition of modern bookbindings
mdp.39015061738731,004907899,<blank>,<blank>,s,1897,    ,1897,Dictionaries;English language,NotFiction;Dictionary,The American encyclopaedic dictionary
hvd.hw2qlg,009722343,<blank>,"Ainsworth, Robert,",s,1828,    ,1828,<blank>,NotFiction,Latin dictionary;
nyp.33433081797734,000454443,E537.3.W82,<blank>,s,1886,    ,1886,Militia;Wisconsin,NotFiction,"Roster of Wisconsin volunteers, war of the rebellion, 1861-1865"
uc1.b3420637,006292601,PH2640.B6,"Bizonfy, Ferencz,",s,1886,    ,1886,Hungarian;Dictionaries;Hungarian language;English language;English,NotFiction;Dictionary,English-Hungarian dictionary
mdp.39015010217530,001175505,Z269.W55,"Wheatley, Henry Benjamin,",s,1882,    ,1882,Bookbinding,NotFiction,"Bookbinding considered as a fine art, mechanical art, and manufacture"
mdp.39015039583136,000113590,E483.1.G32 [no.1,"Jones, Charles C.",s,1881,    ,1881,<blank>,NotFiction,An address delivered before the Confederate survivors' association
umn.31951002304705i,008557904,<blank>,"Fleming, Charles,",m,1872,1873,1872-1873,French;Dictionaries;English;English language;French language,NotFiction;Dictionary,"Royal dictionary, English and French and French and English"
nyp.33433074911433,006672185,<blank>,"Smollett, T.",s,1820,    ,1820,<blank>,Fiction,"The miscellaneous works of Tobias Smollett, M.D"
uc1.b309788,006539612,<blank>,"Webster, Noah,",s,1833,    ,1833,Dictionaries;English language,NotFiction;Dictionary,A dictionary for primary schools
wu.89094713682,005802781,<blank>,"Shipp, John,",s,1830,    ,1830,"History;India;British occupation, 1765-1947",NotFiction,Memoirs of the extraordinary military career of John Shipp
mdp.39015023453437,001171981,Z5854.I59,<blank>,s,1895,    ,1895,Engineering;Horology;Bibliography,Bibliographies;NotFiction;Catalog,Catalogue of the library of the Institution of civil engineers
nyp.33433081637682,008675670,<blank>,"Surenne, Gabriel.",r,1856,uuuu,1856,"Encyclopedias and dictionaries;Dictionaries;Encyclopedias and dictionaries, French;French language",NotFiction;Dictionary,Dictionary of the French and English languages
nyp.33433011683491,001496204,QK112.S73,"Sprague, Isaac,",s,1882,    ,1882,Flowers in literature;Wild flowers;North America,NotFiction,Beautiful wild flowers of America
mdp.39015030762176,001494516,QK358.G86,"Griffith, William,",m,1847,1854,1847-1854,Asia;Pictorial works;Botany,NotFiction,"Posthumous papers, bequeathed to the honourable the East India company"
nyp.33433076038599,008665236,<blank>,<blank>,s,1834,    ,1834,English poetry,Poetry,Beauties of the British poets: being a pocket dictionary of their most admired passages
mdp.39015033288013,001179938,Z7845.M8B5,"Berrian, William,",s,1898,    ,1898,Mormon Church;Bibliography,Bibliographies;NotFiction;Catalog,"Catalogue of books, early newspapers, and pamphlets, on Mormonism"
hvd.32044106376916,001803398,<blank>,"Baretti, Giuseppe Marco Antonio,",s,1760,    ,1760,<blank>,UnknownGenre,A dictionary of the English and Italian languages
nnc1.0067386563,008400944,<blank>,"Redhouse, James W.",s,1856,    ,1856,Turkish language;Dictionaries;Turkish;English language;English,NotFiction;Dictionary,English and Turkish dictionary
nyp.33433066407812,001510371,T45.N626,"Nicholson, John,",s,1825,    ,1825,Manufacturing industries;Great Britain;Machinery,NotFiction,"The operative mechanic, and British machinist;"
coo.31924052152448,007701603,<blank>,"Muret, Eduard,",m,1900,1905,1900-1905,German;Dictionaries;English;English language;German language,NotFiction;Dictionary,Muret-Sanders Enzyklopädisches englisch-deutsches und deutsch-englisches Wörterbuch
hvd.32044033861048,009723784,<blank>,"Young, John,",s,1825,    ,1825,"Painting;London;Art collections;Great Britain;1st Baron;Private collections;Painting, British;De Tabley, John Fleming Leicester;1762-1827",NotFiction;Catalog,"A catalogue of pictures by British artists in the possession of John Fleming Leicester, Bart"
mdp.39015011379842,001811115,<blank>,"Liddell, Henry George,",s,1859,    ,1859,Greek language;Dictionaries;English,UnknownGenre,A Greek-English lexicon
njp.32101072865932,008728687,DA536.H75A2,"Hunt, Henry,",m,1820,1822,1820-1822,Biography;Radicals;Great Britain,NotFiction,"Memoirs of Henry Hunt, Esq"
uc1.b177671,006648881,Z997.L21,"Lamb, Charles,",s,1897,    ,1897,<blank>,NotFiction;Catalog,A descriptive catalogue of the library of Charles Lamb
nyp.33433075970503,005260767,<blank>,"Worcester, Joseph E.",s,1831,    ,1831,Dictionaries;English language,NotFiction;Dictionary,A comprehensive pronouncing and explanatory dictionary of the English language
nyp.33433045574906,008613580,<blank>,"Carlyle, Jane Welsh,",s,1894,    ,1894,Scottish letters,NotFiction,Letters and memorials of Jane Welsh Carlyle
yale.39002008058811,001470889,NK1530.S5 1898,"Shaw, Henry,",r,1898,1842,1898,Decoration and ornament,NotFiction,The encyclopedia of ornament
hvd.32044103136792,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
mdp.39015080088050,001932477,<blank>,<blank>,m,1808,1810,1808-1810,Bible;Commentaries,UnknownGenre,An exposition of all the books of the Old and New Testaments
nyp.33433019288186,008606352,HE7673.P54,"Phillips, Walter P.",s,1879,    ,1879,Cipher and telegraph codes,NotFiction,"The Phillips telegraphic code for the rapid transmission by telegraph of press reports, commercial and private telegrams, and all other matter sent by wire or cable"
mdp.39015028747247,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
mdp.39015000983661,000661349,QA501.C56 1892,"Church, Albert E.",s,1892,    ,1892,"Geometry, Descriptive",NotFiction,Plates to Descriptive geometry
inu.32000001997826,001770736,<blank>,"Velázquez de la Cadena, Mariano,",m,1900,1902,1900-1903,Spanish;Dictionaries;English;Spanish language;English language,UnknownGenre,A new pronouncing dictionary of the Spanish and English languages;
mdp.39015077163775,002018807,<blank>,"Campau, Thomas S.",s,1884,    ,1884,<blank>,UnknownGenre,"Matter of the estate of Emilie Campau, deceased"
mdp.39015034104615,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
nyp.33433082315197,008675583,<blank>,"Nugent, Thomas,",s,1830,    ,1830,French;Dictionaries;English;English language;French language,NotFiction;Dictionary,A new pocket dictionary of the French and English languages
nyp.33433020427187,008609827,<blank>,<blank>,s,1879,    ,1879,Georgia;Office of the Comptroller General;History,NotFiction,"Report of additional testimony taken by the Special Committee of the House, on the Conduct of the Office of the Comptroller General"
mdp.39015061738715,004907899,<blank>,<blank>,s,1897,    ,1897,Dictionaries;English language,NotFiction;Dictionary,The American encyclopaedic dictionary
nyp.33433075950414,008677993,<blank>,"McWatters, George S.,",s,1880,    ,1880,Detectives,NotFiction,Detectives of Europe and America
nyp.33433087357806,008689024,<blank>,"Spofford, Ainsworth Rand,",s,1894,    ,1894,"Collections;Literature;Gibbon, Charles;1843-1890;joint ed",Fiction,The library of choice literature and encyclopedia of universal authorship
mdp.39015021558005,001168290,Z1242.T78,"Tredwell, Daniel M,",s,1874,    ,1874,"Civil War, 1861-1865;History;United States;Bibliography",Bibliographies;NotFiction;Catalog,A catalogue of books and pamphlets
mdp.39015021328508,001286093,G1019.B316 1881 (Map Div.),"Bartholomew, John,",s,1881,    ,1881,Atlases,NotFiction,Zell's descriptive hand atlas of the world
uva.x001476597,009039006,DP522.C8,"Costigan, Arthur William.",s,1787,    ,1787,Social life and customs;Description and travel;Portugal,NotFiction,Sketches of society and manners in Portugal
nyp.33433082420039,008638580,E182.C32,"Carson, Ann Baker.",s,1838,    ,1838,Philadelphia (Pa.);Social life and customs,NotFiction,The memoirs of the celebrated and beautiful Mrs. Ann Carson
nnc1.cu58533230,008434544,<blank>,"Klopstock, Friedrich Gottlieb,",s,1809,    ,1809,"Authors, German;Germany;Biography;Correspondence;18th century;Authors' spouses",NotFiction,Memoirs of Fredrick and Margaret Klopstock
coo.31924018304760,009166913,QL549.K718,"Knobel, Edward,",s,1895,    ,1895,Butterflies;New England;Moths,NotFiction,"The day butterflies and duskflyers of New England, how to find and know them"
nyp.33433004999649,008587882,<blank>,"Nugent, Thomas,",s,1826,    ,1826,French;Dictionaries;English;English language;French language,NotFiction,A new pocket dictionary of the French and English languages
ucm.532767252x,009277932,<blank>,<blank>,s,1778,    ,1778,Lengua española;Early works to 1800;Lengua inglesa;Obras anteriores a 1800;Spanish;Dictionaries;English;English language;Diccionarios;Spanish language,NotFiction;Dictionary,"A dictionary Spanish and English, and English and Spanish"
nnc1.cu01973100,008418838,<blank>,"White, John T.",s,1881,    ,1881,<blank>,NotFiction;Dictionary,"An English-Latin dictionary for the use of junior students, founded on White and Riddle's Latin-English dictionary"
